"lN","se","lcl","ucl","trip","grid"
3.16926695001202,0.2939672625843,2.63905732961526,3.68887945411394,16,"hol M2"
3.24241746408707,0.234642496617772,2.83321334405622,3.76120011569356,17,"hol M2"
3.43747692506502,0.159817142429085,3.17805383034795,3.80666248977032,18,"hol M2"
2.44603584175188,0.146833062645655,2.30258509299405,2.83321334405622,19,"hol M2"
1.66952449423712,0.294079869547602,1.38629436111989,2.39789527279837,20,"hol M2"
0.602256952003881,0.60604720677522,0,1.79175946922805,1,"hol MR1"
0.755115714964391,0.63511173368099,0,1.79175946922805,2,"hol MR1"
2.19425090125626,0.301632727531294,1.79175946922805,2.89037175789616,3,"hol MR1"
2.3716272933385,0.314388342242948,1.79175946922805,2.83321334405622,4,"hol MR1"
2.84312579854847,0.306781105537948,2.19722457733622,3.36729582998647,5,"hol MR1"
2.83564906365005,0.312654135912762,2.19722457733622,3.3322045101752,6,"hol MR1"
3.33019250318776,0.221996219515014,2.99573227355399,3.85014760171006,7,"hol MR1"
2.97249688775679,0.28873858560639,2.484906649788,3.58351893845611,8,"hol MR1"
3.14269846441858,0.284831442920146,2.70805020110221,3.76120011569356,9,"hol MR1"
0.559028854924569,0.594089815346451,0,1.79175946922805,10,"hol MR1"
0.588371397826167,0.60030327024115,0,1.79175946922805,11,"hol MR1"
1.21356122458613,0.381258682248949,0.693147180559945,1.79175946922805,12,"hol MR1"
0.664255064234724,0.618486741648662,0,1.79175946922805,13,"hol MR1"
1.23632272615666,0.38599748174885,0.693147180559945,1.79175946922805,14,"hol MR1"
2.05731362025916,0.332810371766814,1.38629436111989,2.56494935746154,15,"hol MR1"
2.45939695906762,0.328564938130578,1.79175946922805,3.04452243772342,16,"hol MR1"
2.09926927960878,0.330194950468143,1.6094379124341,2.77258872223978,17,"hol MR1"
2.69904031692315,0.318154439338039,2.07944154167984,3.2188758248682,18,"hol MR1"
1.48162304324923,0.332764311434146,1.09861228866811,2.19722457733622,19,"hol MR1"
1.23826096486427,0.381408593660288,0.693147180559945,1.79175946922805,20,"hol MR1"
3.51088343755944,0.255903630522144,2.94443897916644,3.89182029811063,1,"hol MR2"
3.52483709138942,0.24798840544743,3.09104245335832,4.04305126783455,2,"hol MR2"
3.10634071368171,0.241534573983846,2.70805020110221,3.63758615972639,3,"hol MR2"
3.34736085270716,0.275504008614302,2.77258872223978,3.78418963391826,4,"hol MR2"
4.82468095773462,0.20692194659108,4.4188406077966,5.19849703126583,5,"hol MR2"
4.74264527430478,0.13914472279171,4.48863636973214,5.03695260241363,6,"hol MR2"
4.76356147596236,0.136161108824871,4.52178857704904,5.04985600724954,7,"hol MR2"
4.17871910690858,0.228870258789139,3.76120011569356,4.64439089914137,8,"hol MR2"
3.25236407423361,0.176176681573041,2.99573227355399,3.66356164612965,9,"hol MR2"
0.544887942737284,0.590083220393002,0,1.79175946922805,10,"hol MR2"
0.605500221463395,0.606659416018573,0,1.79175946922805,11,"hol MR2"
0.640514697292893,0.609334979798058,0,1.79175946922805,12,"hol MR2"
0.666825216005759,0.620577396452848,0,1.79175946922805,13,"hol MR2"
0.601219651466681,0.604998671893732,0,1.79175946922805,14,"hol MR2"
0.577929960097883,0.600426322034923,0,1.79175946922805,15,"hol MR2"
3.46981196684533,0.272077236609198,2.99573227355399,4.02535169073515,16,"hol MR2"
3.41016967613357,0.176592745531999,3.13549421592915,3.80666248977032,17,"hol MR2"
3.00323523500871,0.297756172573484,2.484906649788,3.55534806148941,18,"hol MR2"
2.24696309068108,0.338550236886613,1.6094379124341,2.83321334405622,19,"hol MR2"
1.81902892114205,0.332001866115297,1.38629436111989,2.484906649788,20,"hol MR2"
